spread,dimension,rows,disk_bytes,est_full_bytes,est_projected_bytes,lookup_bytes,lookup_bytes_predicted,lookup_status,lookup_elements,max_key,lookup_over_disk,lookup_over_est_projected
10,customer,3000001,12349527,12253623,7877329,120000024,120000016,measured,30000000,29999999,9.716973,15.233593
10,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
10,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
10,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
100,customer,3000001,12349527,12253623,7877329,1200000024,1200000016,measured,300000000,299999999,97.169715,152.335903
100,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
100,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
100,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
500,customer,3000001,12349527,12253623,7877329,6000000024,6000000016,measured,1500000000,1499999999,485.848569,761.679501
500,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
500,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
500,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
700,customer,3000001,12349527,12253623,7877329,8400000024,8400000016,measured,2100000000,2099999999,680.187996,1066.351301
700,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
700,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
700,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
1000,customer,3000001,12349527,12253623,7877329,-1,12000000016,fail:IllegalArgumentException,3000000000,2999999999,971.697136,1523.358998
1000,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
1000,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
1000,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
