spread,dimension,rows,disk_bytes,est_full_bytes,est_projected_bytes,lookup_bytes,lookup_bytes_predicted,lookup_status,lookup_elements,max_key,lookup_over_disk,lookup_over_est_projected
10,customer,3000000,12456424,12359712,7945529,120000000,119999992,measured,29999994,29999993,9.633583,15.102833
10,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
10,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
10,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
100,customer,3000000,13526670,13421638,8628195,1199999760,1199999748,measured,299999933,299999932,88.713612,139.078887
100,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
100,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
100,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
500,customer,3000000,15251255,15132859,9728266,5999998680,5999998668,measured,1499999663,1499999662,393.410161,616.759316
500,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
500,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
500,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
700,customer,3000000,15324996,15206020,9775298,8399998136,8399998128,measured,2099999528,2099999527,548.124002,859.308651
700,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
700,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
700,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
1000,customer,3000000,15373555,15254207,9806275,-1,11999997320,fail:IllegalArgumentException,2999999326,2999999325,780.560991,1223.705976
1000,supplier,200000,825037,818501,363778,200024,200016,measured,200000,199999,0.242442,0.549852
1000,part,1400000,5697648,5653288,2512572,1400024,1400016,measured,1400000,1399999,0.245720,0.557208
1000,date,2556,23148,22820,22820,10248,10240,measured,2556,2555,0.442716,0.449080
