variant,scenario,rows_out,n,exposure,valuations,protections,elapsed_s
par,1,30000000,10000000,4999613857747.23,4,4,47.270
par,2,30000000,10000000,4999719024866.01,4,4,47.270
par,3,30000000,10000000,4999587133569.77,4,4,47.270
seq,1,30000000,10000000,4999613857747.23,4,4,12.564
seq,2,30000000,10000000,4999719024866.01,4,4,12.564
seq,3,30000000,10000000,4999587133569.77,4,4,12.564
sql,1,30000000,10000000,4999613857747.23,4,4,8.429
sql,2,30000000,10000000,4999719024866.01,4,4,8.429
sql,3,30000000,10000000,4999587133569.77,4,4,8.429
par,1,30000000,10000000,4999613857747.23,4,4,42.836
par,2,30000000,10000000,4999719024866.01,4,4,42.836
par,3,30000000,10000000,4999587133569.77,4,4,42.836
seq,1,30000000,10000000,4999613857747.23,4,4,12.625
seq,2,30000000,10000000,4999719024866.01,4,4,12.625
seq,3,30000000,10000000,4999587133569.77,4,4,12.625
sql,1,30000000,10000000,4999613857747.23,4,4,9.273
sql,2,30000000,10000000,4999719024866.01,4,4,9.273
sql,3,30000000,10000000,4999587133569.77,4,4,9.273
par,1,30000000,10000000,4999613857747.23,4,4,44.767
par,2,30000000,10000000,4999719024866.01,4,4,44.767
par,3,30000000,10000000,4999587133569.77,4,4,44.767
seq,1,30000000,10000000,4999613857747.23,4,4,12.649
seq,2,30000000,10000000,4999719024866.01,4,4,12.649
seq,3,30000000,10000000,4999587133569.77,4,4,12.649
sql,1,30000000,10000000,4999613857747.23,4,4,8.366
sql,2,30000000,10000000,4999719024866.01,4,4,8.366
sql,3,30000000,10000000,4999587133569.77,4,4,8.366
par,1,30000000,10000000,4999613857747.23,4,4,49.953
par,2,30000000,10000000,4999719024866.01,4,4,49.953
par,3,30000000,10000000,4999587133569.77,4,4,49.953
seq,1,30000000,10000000,4999613857747.23,4,4,13.050
seq,2,30000000,10000000,4999719024866.01,4,4,13.050
seq,3,30000000,10000000,4999587133569.77,4,4,13.050
sql,1,30000000,10000000,4999613857747.23,4,4,8.287
sql,2,30000000,10000000,4999719024866.01,4,4,8.287
sql,3,30000000,10000000,4999587133569.77,4,4,8.287
par,1,30000000,10000000,4999613857747.23,4,4,45.090
par,2,30000000,10000000,4999719024866.01,4,4,45.090
par,3,30000000,10000000,4999587133569.77,4,4,45.090
seq,1,30000000,10000000,4999613857747.23,4,4,13.679
seq,2,30000000,10000000,4999719024866.01,4,4,13.679
seq,3,30000000,10000000,4999587133569.77,4,4,13.679
sql,1,30000000,10000000,4999613857747.23,4,4,8.949
sql,2,30000000,10000000,4999719024866.01,4,4,8.949
sql,3,30000000,10000000,4999587133569.77,4,4,8.949
