dimension_set,variant,query,run,status,elapsed_s,setup_s,scan_s,groups,total,failure
dim10mb,collect,q1,1,ok,20.93,3.60,17.33,200,3000078095504.6,
dim10mb,streaming,q1,1,ok,21.65,5.31,16.34,200,3000078095504.6,
dim100mb,collect,q1,1,ok,28.09,10.74,17.35,200,3000078095504.6,
dim100mb,streaming,q1,1,ok,27.84,12.18,15.66,200,3000078095504.6,
dim1000mb,collect,q1,1,fail,,,,,,maxResultSize
dim1000mb,streaming,q1,1,ok,89.17,73.51,15.66,200,3000078095504.6,
dim10mb,collect,q1,2,ok,20.91,3.96,16.95,200,3000078095504.6,
dim10mb,streaming,q1,2,ok,20.89,4.91,15.98,200,3000078095504.6,
dim100mb,collect,q1,2,ok,27.79,10.72,17.08,200,3000078095504.6,
dim100mb,streaming,q1,2,ok,27.99,12.62,15.37,200,3000078095504.6,
dim1000mb,collect,q1,2,fail,,,,,,maxResultSize
dim1000mb,streaming,q1,2,ok,91.01,74.16,16.85,200,3000078095504.6,
dim10mb,collect,q1,3,ok,20.69,3.45,17.24,200,3000078095504.6,
dim10mb,streaming,q1,3,ok,21.28,5.36,15.92,200,3000078095504.6,
dim100mb,collect,q1,3,ok,26.59,9.52,17.07,200,3000078095504.6,
dim100mb,streaming,q1,3,ok,27.45,11.37,16.08,200,3000078095504.6,
dim1000mb,collect,q1,3,fail,,,,,,maxResultSize
dim1000mb,streaming,q1,3,ok,89.72,73.83,15.89,200,3000078095504.6,
dim10mb,collect,q1,4,ok,20.75,3.36,17.39,200,3000078095504.6,
dim10mb,streaming,q1,4,ok,20.68,4.65,16.02,200,3000078095504.6,
dim100mb,collect,q1,4,ok,25.34,9.20,16.14,200,3000078095504.6,
dim100mb,streaming,q1,4,ok,27.37,11.64,15.73,200,3000078095504.6,
dim1000mb,collect,q1,4,fail,,,,,,maxResultSize
dim1000mb,streaming,q1,4,ok,90.97,75.06,15.91,200,3000078095504.6,
dim10mb,collect,q1,5,ok,20.14,3.80,16.34,200,3000078095504.6,
dim10mb,streaming,q1,5,ok,19.78,4.67,15.11,200,3000078095504.6,
dim100mb,collect,q1,5,ok,27.73,10.92,16.81,200,3000078095504.6,
dim100mb,streaming,q1,5,ok,27.18,12.07,15.12,200,3000078095504.6,
dim1000mb,collect,q1,5,fail,,,,,,maxResultSize
dim1000mb,streaming,q1,5,ok,90.81,75.39,15.42,200,3000078095504.6,
dim1000mb,collect,q2,1,fail,,,,,,maxResultSize
dim1000mb,streaming,q2,1,ok,113.20,99.19,14.01,40,120015240211.4,
dim1000mb,collect,q2,2,fail,,,,,,maxResultSize
dim1000mb,streaming,q2,2,ok,113.69,100.17,13.52,40,120015240211.4,
dim1000mb,collect,q2,3,fail,,,,,,maxResultSize
dim1000mb,streaming,q2,3,ok,108.88,95.71,13.17,40,120015240211.4,
dim1000mb,collect,q2,4,fail,,,,,,maxResultSize
dim1000mb,streaming,q2,4,ok,111.97,98.25,13.71,40,120015240211.4,
dim1000mb,collect,q2,5,fail,,,,,,maxResultSize
dim1000mb,streaming,q2,5,ok,112.08,98.32,13.76,40,120015240211.4,
dim1000mb,collect,q3,1,fail,,,,,,maxResultSize
dim1000mb,streaming,q3,1,ok,84.10,67.27,16.83,400,1199919067064.6,
dim1000mb,collect,q3,2,fail,,,,,,maxResultSize
dim1000mb,streaming,q3,2,ok,88.23,69.85,18.38,400,1199919067064.6,
dim1000mb,collect,q3,3,fail,,,,,,maxResultSize
dim1000mb,streaming,q3,3,ok,90.22,73.57,16.65,400,1199919067064.6,
dim1000mb,collect,q3,4,fail,,,,,,maxResultSize
dim1000mb,streaming,q3,4,ok,92.47,75.29,17.19,400,1199919067064.6,
dim1000mb,collect,q3,5,fail,,,,,,maxResultSize
dim1000mb,streaming,q3,5,ok,87.12,70.61,16.51,400,1199919067064.6,
dim1000mb,collect,q4,1,fail,,,,,,maxResultSize
dim1000mb,streaming,q4,1,ok,82.16,69.39,12.77,200,3000078095504.6,
dim1000mb,collect,q4,2,fail,,,,,,maxResultSize
dim1000mb,streaming,q4,2,ok,87.99,75.08,12.91,200,3000078095504.6,
dim1000mb,collect,q4,3,fail,,,,,,maxResultSize
dim1000mb,streaming,q4,3,ok,84.35,70.77,13.57,200,3000078095504.6,
dim1000mb,collect,q4,4,fail,,,,,,maxResultSize
dim1000mb,streaming,q4,4,ok,84.01,69.78,14.22,200,3000078095504.6,
dim1000mb,collect,q4,5,fail,,,,,,maxResultSize
dim1000mb,streaming,q4,5,ok,81.49,68.67,12.82,200,3000078095504.6,
