dimension_set,variant,query,run,status,elapsed_s,setup_s,scan_s,groups,total,failure
sparse10x,collect,q1,1,ok,19.90,3.33,16.58,200,3000078095504.6,
sparse10x,streaming,q1,1,ok,22.19,6.20,15.99,200,3000078095504.6,
sparse100x,collect,q1,1,ok,21.48,4.95,16.53,200,3000078095504.6,
sparse100x,streaming,q1,1,ok,24.65,9.00,15.66,200,3000078095504.6,
sparse500x,collect,q1,1,ok,30.19,13.65,16.54,200,3000078095504.6,
sparse500x,streaming,q1,1,ok,31.06,15.22,15.84,200,3000078095504.6,
sparse700x,collect,q1,1,ok,28.70,12.52,16.18,200,3000078095504.6,
sparse700x,streaming,q1,1,ok,38.79,22.69,16.11,200,3000078095504.6,
sparse1000x,collect,q1,1,fail,,,,,,rc=1
sparse1000x,streaming,q1,1,fail,,,,,,rc=1
sparse10x,collect,q1,2,ok,18.85,3.28,15.57,200,3000078095504.6,
sparse10x,streaming,q1,2,ok,20.58,5.29,15.29,200,3000078095504.6,
sparse100x,collect,q1,2,ok,21.11,4.89,16.22,200,3000078095504.6,
sparse100x,streaming,q1,2,ok,23.56,7.69,15.87,200,3000078095504.6,
sparse500x,collect,q1,2,ok,25.65,8.87,16.78,200,3000078095504.6,
sparse500x,streaming,q1,2,ok,34.36,18.81,15.55,200,3000078095504.6,
sparse700x,collect,q1,2,ok,29.96,13.64,16.32,200,3000078095504.6,
sparse700x,streaming,q1,2,ok,34.32,18.51,15.81,200,3000078095504.6,
sparse1000x,collect,q1,2,fail,,,,,,rc=1
sparse1000x,streaming,q1,2,fail,,,,,,rc=1
sparse10x,collect,q1,3,ok,19.91,3.81,16.10,200,3000078095504.6,
sparse10x,streaming,q1,3,ok,20.40,5.09,15.32,200,3000078095504.6,
sparse100x,collect,q1,3,ok,21.41,5.80,15.61,200,3000078095504.6,
sparse100x,streaming,q1,3,ok,23.44,7.91,15.52,200,3000078095504.6,
sparse500x,collect,q1,3,ok,29.62,12.30,17.32,200,3000078095504.6,
sparse500x,streaming,q1,3,ok,34.71,19.01,15.70,200,3000078095504.6,
sparse700x,collect,q1,3,ok,28.44,12.01,16.43,200,3000078095504.6,
sparse700x,streaming,q1,3,ok,36.16,20.26,15.90,200,3000078095504.6,
sparse1000x,collect,q1,3,fail,,,,,,rc=1
sparse1000x,streaming,q1,3,fail,,,,,,rc=1
sparse10x,collect,q1,4,ok,19.50,3.58,15.91,200,3000078095504.6,
sparse10x,streaming,q1,4,ok,21.11,5.21,15.90,200,3000078095504.6,
sparse100x,collect,q1,4,ok,23.20,5.62,17.58,200,3000078095504.6,
sparse100x,streaming,q1,4,ok,24.47,8.07,16.40,200,3000078095504.6,
sparse500x,collect,q1,4,ok,30.45,13.74,16.71,200,3000078095504.6,
sparse500x,streaming,q1,4,ok,30.17,13.91,16.27,200,3000078095504.6,
sparse700x,collect,q1,4,ok,33.35,16.48,16.88,200,3000078095504.6,
sparse700x,streaming,q1,4,ok,42.45,26.26,16.19,200,3000078095504.6,
sparse1000x,collect,q1,4,fail,,,,,,rc=1
sparse1000x,streaming,q1,4,fail,,,,,,rc=1
sparse10x,collect,q1,5,ok,21.00,3.84,17.16,200,3000078095504.6,
sparse10x,streaming,q1,5,ok,20.77,5.31,15.46,200,3000078095504.6,
sparse100x,collect,q1,5,ok,22.23,5.17,17.06,200,3000078095504.6,
sparse100x,streaming,q1,5,ok,22.46,6.72,15.74,200,3000078095504.6,
sparse500x,collect,q1,5,ok,27.41,10.53,16.88,200,3000078095504.6,
sparse500x,streaming,q1,5,ok,39.12,22.65,16.47,200,3000078095504.6,
sparse700x,collect,q1,5,ok,29.87,13.26,16.61,200,3000078095504.6,
sparse700x,streaming,q1,5,ok,43.31,26.29,17.02,200,3000078095504.6,
sparse1000x,collect,q1,5,fail,,,,,,rc=1
sparse1000x,streaming,q1,5,fail,,,,,,rc=1
