regime,query,elapsed_s,phase1_s,groups,total,bcast_ms,session_total_s
joinless,q1,18.697,3.486,200,3000078095504.6,0,56.481
joinless,q2,11.030,0.607,40,120015240211.4,0,56.481
joinless,q3,14.136,0.354,400,1199919067064.6,0,56.481
joinless,q4,9.829,0.000,200,3000078095504.6,0,56.481
relational,q1,27.739,0.000,200,3000078095504.6,5058,74.284
relational,q2,8.799,0.000,40,120015240211.4,6994,74.284
relational,q3,18.498,0.000,400,1199919067064.6,3901,74.284
relational,q4,19.226,0.000,200,3000078095504.6,3073,74.284
relational-cached,q1,91.760,3.502,200,3000078095504.6,400,246.146
relational-cached,q2,19.523,0.000,40,120015240211.4,721,246.146
relational-cached,q3,89.118,0.000,400,1199919067064.6,437,246.146
relational-cached,q4,42.226,0.000,200,3000078095504.6,154,246.146
relational-cached-hi,q1,25.988,3.469,200,3000078095504.6,3628,75.271
relational-cached-hi,q2,8.535,0.000,40,120015240211.4,5492,75.271
relational-cached-hi,q3,18.633,0.000,400,1199919067064.6,3345,75.271
relational-cached-hi,q4,18.618,0.000,200,3000078095504.6,2319,75.271
joinless,q1,19.183,3.493,200,3000078095504.6,0,53.611
joinless,q2,10.910,0.677,40,120015240211.4,0,53.611
joinless,q3,12.950,0.263,400,1199919067064.6,0,53.611
joinless,q4,9.150,0.000,200,3000078095504.6,0,53.611
relational,q1,27.626,0.000,200,3000078095504.6,4430,74.342
relational,q2,8.748,0.000,40,120015240211.4,5714,74.342
relational,q3,18.616,0.000,400,1199919067064.6,3165,74.342
relational,q4,19.329,0.000,200,3000078095504.6,2877,74.342
relational-cached,q1,93.475,3.531,200,3000078095504.6,410,246.937
relational-cached,q2,18.935,0.000,40,120015240211.4,662,246.937
relational-cached,q3,88.874,0.000,400,1199919067064.6,558,246.937
relational-cached,q4,42.105,0.000,200,3000078095504.6,18,246.937
relational-cached-hi,q1,27.095,3.434,200,3000078095504.6,3227,77.298
relational-cached-hi,q2,8.427,0.000,40,120015240211.4,4564,77.298
relational-cached-hi,q3,18.505,0.000,400,1199919067064.6,3250,77.298
relational-cached-hi,q4,19.803,0.000,200,3000078095504.6,4015,77.298
joinless,q1,19.513,3.894,200,3000078095504.6,0,56.760
joinless,q2,11.468,0.533,40,120015240211.4,0,56.760
joinless,q3,14.591,0.334,400,1199919067064.6,0,56.760
joinless,q4,9.786,0.000,200,3000078095504.6,0,56.760
relational,q1,28.009,0.000,200,3000078095504.6,3998,74.077
relational,q2,8.173,0.000,40,120015240211.4,5422,74.077
relational,q3,18.519,0.000,400,1199919067064.6,3082,74.077
relational,q4,19.353,0.000,200,3000078095504.6,3740,74.077
relational-cached,q1,94.507,3.623,200,3000078095504.6,381,252.159
relational-cached,q2,19.489,0.000,40,120015240211.4,653,252.159
relational-cached,q3,92.555,0.000,400,1199919067064.6,366,252.159
relational-cached,q4,41.962,0.000,200,3000078095504.6,130,252.159
relational-cached-hi,q1,25.292,3.402,200,3000078095504.6,3008,74.216
relational-cached-hi,q2,7.879,0.000,40,120015240211.4,4715,74.216
relational-cached-hi,q3,18.498,0.000,400,1199919067064.6,3192,74.216
relational-cached-hi,q4,19.124,0.000,200,3000078095504.6,3039,74.216
joinless,q1,18.885,3.728,200,3000078095504.6,0,54.653
joinless,q2,10.965,0.526,40,120015240211.4,0,54.653
joinless,q3,13.724,0.338,400,1199919067064.6,0,54.653
joinless,q4,9.561,0.000,200,3000078095504.6,0,54.653
relational,q1,28.269,0.000,200,3000078095504.6,4974,75.410
relational,q2,8.744,0.000,40,120015240211.4,6283,75.410
relational,q3,17.865,0.000,400,1199919067064.6,5381,75.410
relational,q4,20.512,0.000,200,3000078095504.6,1297,75.410
relational-cached,q1,91.401,3.591,200,3000078095504.6,562,254.331
relational-cached,q2,22.724,0.000,40,120015240211.4,841,254.331
relational-cached,q3,93.751,0.000,400,1199919067064.6,379,254.331
relational-cached,q4,42.846,0.000,200,3000078095504.6,123,254.331
relational-cached-hi,q1,26.932,3.629,200,3000078095504.6,4184,79.071
relational-cached-hi,q2,9.273,0.000,40,120015240211.4,5738,79.071
relational-cached-hi,q3,19.090,0.000,400,1199919067064.6,3061,79.071
relational-cached-hi,q4,20.117,0.000,200,3000078095504.6,2351,79.071
joinless,q1,18.816,3.791,200,3000078095504.6,0,53.647
joinless,q2,10.852,0.612,40,120015240211.4,0,53.647
joinless,q3,12.933,0.351,400,1199919067064.6,0,53.647
joinless,q4,9.296,0.000,200,3000078095504.6,0,53.647
relational,q1,28.275,0.000,200,3000078095504.6,4682,75.732
relational,q2,8.996,0.000,40,120015240211.4,6086,75.732
relational,q3,19.003,0.000,400,1199919067064.6,3061,75.732
relational,q4,19.435,0.000,200,3000078095504.6,2597,75.732
relational-cached,q1,97.560,3.642,200,3000078095504.6,450,262.222
relational-cached,q2,19.106,0.000,40,120015240211.4,653,262.222
relational-cached,q3,97.592,0.000,400,1199919067064.6,327,262.222
relational-cached,q4,44.300,0.000,200,3000078095504.6,166,262.222
relational-cached-hi,q1,25.954,3.261,200,3000078095504.6,3256,74.708
relational-cached-hi,q2,8.146,0.000,40,120015240211.4,4893,74.708
relational-cached-hi,q3,18.280,0.000,400,1199919067064.6,3179,74.708
relational-cached-hi,q4,19.046,0.000,200,3000078095504.6,3132,74.708
