query,strategy,run,status,elapsed_s,groups,total,shuffle_write_bytes,shuffle_write_records,shuffle_read_bytes,shuffle_read_local,shuffle_read_remote,shuffle_read_records,bhj,smj,shuffle_ops
q1,joinless,1,ok,20.41,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q1,bhj,1,ok,27.81,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,4,0,2
q1,smj,1,ok,170.99,200,3000078095504.6,57519979126,2404632456,57519979126,57519979126,0,2404632456,0,4,10
q2,joinless,1,ok,19.28,40,120015240211.4,645557,10396,645557,645557,0,10396,0,0,2
q2,bhj,1,ok,13.32,40,120015240211.4,933433,10396,933433,933433,0,10396,4,0,2
q2,smj,1,ok,24.40,40,120015240211.4,2213876635,98215567,2213876635,2213876635,0,98215567,0,4,10
q3,joinless,1,ok,20.27,400,1199919067064.6,4266648,100397,4266648,4266648,0,100397,0,0,2
q3,bhj,1,ok,22.76,400,1199919067064.6,6656238,100397,6656238,6656238,0,100397,4,0,2
q3,smj,1,ok,79.97,400,1199919067064.6,23539575679,965149634,23539575679,23539575679,0,965149634,0,4,10
q4,joinless,1,ok,16.49,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q4,bhj,1,ok,23.58,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,2,0,2
q4,smj,1,ok,78.57,200,3000078095504.6,20799410077,1203032456,20799410077,20799410077,0,1203032456,0,2,6
q1,joinless,2,ok,19.82,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q1,bhj,2,ok,28.96,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,4,0,2
q1,smj,2,ok,175.38,200,3000078095504.6,57519979126,2404632456,57519979126,57519979126,0,2404632456,0,4,10
q2,joinless,2,ok,17.65,40,120015240211.4,645557,10396,645557,645557,0,10396,0,0,2
q2,bhj,2,ok,12.71,40,120015240211.4,933433,10396,933433,933433,0,10396,4,0,2
q2,smj,2,ok,23.84,40,120015240211.4,2213876635,98215567,2213876635,2213876635,0,98215567,0,4,10
q3,joinless,2,ok,18.96,400,1199919067064.6,4266648,100397,4266648,4266648,0,100397,0,0,2
q3,bhj,2,ok,23.41,400,1199919067064.6,6656238,100397,6656238,6656238,0,100397,4,0,2
q3,smj,2,ok,83.40,400,1199919067064.6,23539575679,965149634,23539575679,23539575679,0,965149634,0,4,10
q4,joinless,2,ok,16.13,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q4,bhj,2,ok,24.25,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,2,0,2
q4,smj,2,ok,79.52,200,3000078095504.6,20799410077,1203032456,20799410077,20799410077,0,1203032456,0,2,6
q1,joinless,3,ok,19.95,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q1,bhj,3,ok,28.43,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,4,0,2
q1,smj,3,ok,176.36,200,3000078095504.6,57519979126,2404632456,57519979126,57519979126,0,2404632456,0,4,10
q2,joinless,3,ok,18.30,40,120015240211.4,645557,10396,645557,645557,0,10396,0,0,2
q2,bhj,3,ok,12.59,40,120015240211.4,933433,10396,933433,933433,0,10396,4,0,2
q2,smj,3,ok,23.48,40,120015240211.4,2213876635,98215567,2213876635,2213876635,0,98215567,0,4,10
q3,joinless,3,ok,19.66,400,1199919067064.6,4266648,100397,4266648,4266648,0,100397,0,0,2
q3,bhj,3,ok,21.95,400,1199919067064.6,6656238,100397,6656238,6656238,0,100397,4,0,2
q3,smj,3,ok,77.50,400,1199919067064.6,23539575679,965149634,23539575679,23539575679,0,965149634,0,4,10
q4,joinless,3,ok,15.98,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q4,bhj,3,ok,23.53,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,2,0,2
q4,smj,3,ok,79.25,200,3000078095504.6,20799410077,1203032456,20799410077,20799410077,0,1203032456,0,2,6
q1,joinless,4,ok,19.28,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
q1,bhj,4,ok,27.35,200,3000078095504.6,3644386,50400,3644386,3644386,0,50400,4,0,2
q1,smj,4,ok,169.16,200,3000078095504.6,57519979126,2404632456,57519979126,57519979126,0,2404632456,0,4,10
q2,joinless,4,ok,18.39,40,120015240211.4,645557,10396,645557,645557,0,10396,0,0,2
q2,bhj,4,ok,13.29,40,120015240211.4,933433,10396,933433,933433,0,10396,4,0,2
q2,smj,4,ok,23.95,40,120015240211.4,2213876635,98215567,2213876635,2213876635,0,98215567,0,4,10
q3,joinless,4,ok,20.22,400,1199919067064.6,4266648,100397,4266648,4266648,0,100397,0,0,2
q3,bhj,4,ok,22.59,400,1199919067064.6,6656238,100397,6656238,6656238,0,100397,4,0,2
q3,smj,4,ok,79.21,400,1199919067064.6,23539575679,965149634,23539575679,23539575679,0,965149634,0,4,10
q4,joinless,4,ok,17.14,200,3000078095504.6,2480993,50400,2480993,2480993,0,50400,0,0,2
