query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
q1,joinless,-1,pattern,1,ok,21.35,3.66,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q1-joinless-pattern-r1.txt
q1,auto,10485760,default-10MiB,1,ok,28.01,,200,3000078095504.6,4,0,2,4,6,5092,247584224,results/plans/q1-auto-default-10MiB-r1.txt
q1,auto,22821,admits-1:date,1,ok,134.40,,200,3000078095504.6,1,3,8,1,9,372,1069024,results/plans/q1-auto-admits-1:date-r1.txt
q1,auto,363779,admits-2:date+supplier,1,ok,97.57,,200,3000078095504.6,2,2,6,2,8,984,11057632,results/plans/q1-auto-admits-2:date+supplier-r1.txt
q1,auto,2512573,admits-3:date+supplier+part,1,ok,60.01,,200,3000078095504.6,3,1,4,3,7,2667,89366496,results/plans/q1-auto-admits-3:date+supplier+part-r1.txt
q1,auto,7876670,admits-4:date+supplier+part+customer,1,ok,27.77,,200,3000078095504.6,4,0,2,4,6,5072,247584224,results/plans/q1-auto-admits-4:date+supplier+part+customer-r1.txt
q1,auto,63013352,above-all-8x,1,ok,27.77,,200,3000078095504.6,4,0,2,4,6,4378,247584224,results/plans/q1-auto-above-all-8x-r1.txt
q2,joinless,-1,pattern,1,ok,19.20,4.29,40,120015240211.4,0,0,2,0,2,0,0,results/plans/q2-joinless-pattern-r1.txt
q2,auto,10485760,default-10MiB,1,ok,13.74,,40,120015240211.4,4,0,2,4,6,3945,139580832,results/plans/q2-auto-default-10MiB-r1.txt
q2,auto,22821,admits-1:date,1,ok,21.59,,40,120015240211.4,1,3,8,1,9,1144,1069024,results/plans/q2-auto-admits-1:date-r1.txt
q2,auto,363779,admits-2:date+supplier,1,ok,19.02,,40,120015240211.4,2,2,6,2,8,2070,3717568,results/plans/q2-auto-admits-2:date+supplier-r1.txt
q2,auto,2512573,admits-3:date+supplier+part,1,ok,17.53,,40,120015240211.4,3,1,4,3,7,3247,82026432,results/plans/q2-auto-admits-3:date+supplier+part-r1.txt
q2,auto,7876670,admits-4:date+supplier+part+customer,1,ok,12.36,,40,120015240211.4,4,0,2,4,6,4645,139580832,results/plans/q2-auto-admits-4:date+supplier+part+customer-r1.txt
q2,auto,63013352,above-all-8x,1,ok,13.02,,40,120015240211.4,4,0,2,4,6,4063,139580832,results/plans/q2-auto-above-all-8x-r1.txt
q3,joinless,-1,pattern,1,ok,19.67,3.21,400,1199919067064.6,0,0,2,0,2,0,0,results/plans/q3-joinless-pattern-r1.txt
q3,auto,10485760,default-10MiB,1,ok,23.31,,400,1199919067064.6,4,0,2,4,6,4534,214029768,results/plans/q3-auto-default-10MiB-r1.txt
q3,auto,22821,admits-1:date,1,ok,64.24,,400,1199919067064.6,1,3,8,1,9,519,1069024,results/plans/q3-auto-admits-1:date-r1.txt
q3,auto,363779,admits-2:date+supplier,1,ok,47.85,,400,1199919067064.6,2,2,6,2,8,1128,11057632,results/plans/q3-auto-admits-2:date+supplier-r1.txt
q3,auto,2512573,admits-3:date+supplier+part,1,ok,47.81,,400,1199919067064.6,2,2,6,2,8,1776,11057632,results/plans/q3-auto-admits-3:date+supplier+part-r1.txt
q3,auto,7876670,admits-4:date+supplier+part+customer,1,ok,23.09,,400,1199919067064.6,4,0,2,4,6,4589,214029768,results/plans/q3-auto-admits-4:date+supplier+part+customer-r1.txt
q3,auto,63013352,above-all-8x,1,ok,22.02,,400,1199919067064.6,4,0,2,4,6,4913,214029768,results/plans/q3-auto-above-all-8x-r1.txt
q4,joinless,-1,pattern,1,ok,16.63,2.39,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q4-joinless-pattern-r1.txt
q4,auto,10485760,default-10MiB,1,ok,23.98,,200,3000078095504.6,2,0,2,2,4,2220,159286752,results/plans/q4-auto-default-10MiB-r1.txt
q4,auto,22821,admits-1:date,1,ok,45.46,,200,3000078095504.6,1,1,4,1,5,503,1069024,results/plans/q4-auto-admits-1:date-r1.txt
q4,auto,363779,admits-2:date+supplier,1,ok,44.33,,200,3000078095504.6,1,1,4,1,5,348,1069024,results/plans/q4-auto-admits-2:date+supplier-r1.txt
q4,auto,2512573,admits-3:date+supplier+part,1,ok,45.73,,200,3000078095504.6,1,1,4,1,5,365,1069024,results/plans/q4-auto-admits-3:date+supplier+part-r1.txt
q4,auto,7876670,admits-4:date+supplier+part+customer,1,ok,25.16,,200,3000078095504.6,2,0,2,2,4,2213,159286752,results/plans/q4-auto-admits-4:date+supplier+part+customer-r1.txt
q4,auto,63013352,above-all-8x,1,ok,24.13,,200,3000078095504.6,2,0,2,2,4,2602,159286752,results/plans/q4-auto-above-all-8x-r1.txt
q1,joinless,-1,pattern,2,ok,20.47,3.49,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q1-joinless-pattern-r2.txt
q1,auto,10485760,default-10MiB,2,ok,27.77,,200,3000078095504.6,4,0,2,4,6,5009,247584224,results/plans/q1-auto-default-10MiB-r2.txt
q1,auto,22821,admits-1:date,2,ok,137.08,,200,3000078095504.6,1,3,8,1,9,391,1069024,results/plans/q1-auto-admits-1:date-r2.txt
q1,auto,363779,admits-2:date+supplier,2,ok,96.29,,200,3000078095504.6,2,2,6,2,8,1011,11057632,results/plans/q1-auto-admits-2:date+supplier-r2.txt
q1,auto,2512573,admits-3:date+supplier+part,2,ok,56.33,,200,3000078095504.6,3,1,4,3,7,2014,89366496,results/plans/q1-auto-admits-3:date+supplier+part-r2.txt
q1,auto,7876670,admits-4:date+supplier+part+customer,2,ok,28.92,,200,3000078095504.6,4,0,2,4,6,4554,247584224,results/plans/q1-auto-admits-4:date+supplier+part+customer-r2.txt
q1,auto,63013352,above-all-8x,2,ok,28.20,,200,3000078095504.6,4,0,2,4,6,4606,247584224,results/plans/q1-auto-above-all-8x-r2.txt
q2,joinless,-1,pattern,2,ok,17.73,3.97,40,120015240211.4,0,0,2,0,2,0,0,results/plans/q2-joinless-pattern-r2.txt
q2,auto,10485760,default-10MiB,2,ok,12.37,,40,120015240211.4,4,0,2,4,6,3961,139580832,results/plans/q2-auto-default-10MiB-r2.txt
q2,auto,22821,admits-1:date,2,ok,22.26,,40,120015240211.4,1,3,8,1,9,933,1069024,results/plans/q2-auto-admits-1:date-r2.txt
q2,auto,363779,admits-2:date+supplier,2,ok,19.75,,40,120015240211.4,2,2,6,2,8,2134,3717568,results/plans/q2-auto-admits-2:date+supplier-r2.txt
q2,auto,2512573,admits-3:date+supplier+part,2,ok,17.76,,40,120015240211.4,3,1,4,3,7,4075,82026432,results/plans/q2-auto-admits-3:date+supplier+part-r2.txt
q2,auto,7876670,admits-4:date+supplier+part+customer,2,ok,12.18,,40,120015240211.4,4,0,2,4,6,3769,139580832,results/plans/q2-auto-admits-4:date+supplier+part+customer-r2.txt
q2,auto,63013352,above-all-8x,2,ok,12.81,,40,120015240211.4,4,0,2,4,6,4479,139580832,results/plans/q2-auto-above-all-8x-r2.txt
q3,joinless,-1,pattern,2,ok,19.65,2.99,400,1199919067064.6,0,0,2,0,2,0,0,results/plans/q3-joinless-pattern-r2.txt
q3,auto,10485760,default-10MiB,2,ok,22.63,,400,1199919067064.6,4,0,2,4,6,4310,214029768,results/plans/q3-auto-default-10MiB-r2.txt
q3,auto,22821,admits-1:date,2,ok,64.13,,400,1199919067064.6,1,3,8,1,9,841,1069024,results/plans/q3-auto-admits-1:date-r2.txt
q3,auto,363779,admits-2:date+supplier,2,ok,47.50,,400,1199919067064.6,2,2,6,2,8,1561,11057632,results/plans/q3-auto-admits-2:date+supplier-r2.txt
q3,auto,2512573,admits-3:date+supplier+part,2,ok,47.29,,400,1199919067064.6,2,2,6,2,8,1842,11057632,results/plans/q3-auto-admits-3:date+supplier+part-r2.txt
q3,auto,7876670,admits-4:date+supplier+part+customer,2,ok,22.54,,400,1199919067064.6,4,0,2,4,6,4699,214029768,results/plans/q3-auto-admits-4:date+supplier+part+customer-r2.txt
q3,auto,63013352,above-all-8x,2,ok,22.57,,400,1199919067064.6,4,0,2,4,6,4680,214029768,results/plans/q3-auto-above-all-8x-r2.txt
q4,joinless,-1,pattern,2,ok,15.93,2.42,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q4-joinless-pattern-r2.txt
q4,auto,10485760,default-10MiB,2,ok,23.47,,200,3000078095504.6,2,0,2,2,4,2201,159286752,results/plans/q4-auto-default-10MiB-r2.txt
q4,auto,22821,admits-1:date,2,ok,44.83,,200,3000078095504.6,1,1,4,1,5,372,1069024,results/plans/q4-auto-admits-1:date-r2.txt
q4,auto,363779,admits-2:date+supplier,2,ok,47.14,,200,3000078095504.6,1,1,4,1,5,352,1069024,results/plans/q4-auto-admits-2:date+supplier-r2.txt
q4,auto,2512573,admits-3:date+supplier+part,2,ok,45.25,,200,3000078095504.6,1,1,4,1,5,362,1069024,results/plans/q4-auto-admits-3:date+supplier+part-r2.txt
q4,auto,7876670,admits-4:date+supplier+part+customer,2,ok,23.05,,200,3000078095504.6,2,0,2,2,4,2157,159286752,results/plans/q4-auto-admits-4:date+supplier+part+customer-r2.txt
q4,auto,63013352,above-all-8x,2,ok,22.98,,200,3000078095504.6,2,0,2,2,4,2315,159286752,results/plans/q4-auto-above-all-8x-r2.txt
q1,joinless,-1,pattern,3,ok,19.90,3.37,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q1-joinless-pattern-r3.txt
q1,auto,10485760,default-10MiB,3,ok,27.10,,200,3000078095504.6,4,0,2,4,6,4368,247584224,results/plans/q1-auto-default-10MiB-r3.txt
q1,auto,22821,admits-1:date,3,ok,137.59,,200,3000078095504.6,1,3,8,1,9,367,1069024,results/plans/q1-auto-admits-1:date-r3.txt
q1,auto,363779,admits-2:date+supplier,3,ok,94.94,,200,3000078095504.6,2,2,6,2,8,1014,11057632,results/plans/q1-auto-admits-2:date+supplier-r3.txt
q1,auto,2512573,admits-3:date+supplier+part,3,ok,56.55,,200,3000078095504.6,3,1,4,3,7,2192,89366496,results/plans/q1-auto-admits-3:date+supplier+part-r3.txt
q1,auto,7876670,admits-4:date+supplier+part+customer,3,ok,28.05,,200,3000078095504.6,4,0,2,4,6,6987,247584224,results/plans/q1-auto-admits-4:date+supplier+part+customer-r3.txt
q1,auto,63013352,above-all-8x,3,ok,26.60,,200,3000078095504.6,4,0,2,4,6,4107,247584224,results/plans/q1-auto-above-all-8x-r3.txt
q2,joinless,-1,pattern,3,ok,17.13,3.80,40,120015240211.4,0,0,2,0,2,0,0,results/plans/q2-joinless-pattern-r3.txt
q2,auto,10485760,default-10MiB,3,ok,12.42,,40,120015240211.4,4,0,2,4,6,3421,139580832,results/plans/q2-auto-default-10MiB-r3.txt
