dimension_set,query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
dim10mb,q1,joinless,-1,pattern,1,ok,19.66,3.25,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-joinless-pattern-r1.txt
dim10mb,q1,auto,10485760,default-10MiB,1,ok,27.80,,200,3000078095504.6,4,0,2,4,6,4444,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-default-10MiB-r1.txt
dim10mb,q1,auto,22821,admits-1:date,1,ok,137.65,,200,3000078095504.6,1,3,8,1,9,374,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-1:date-r1.txt
dim10mb,q1,auto,363779,admits-2:date+supplier,1,ok,94.19,,200,3000078095504.6,2,2,6,2,8,1020,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-2:date+supplier-r1.txt
dim10mb,q1,auto,2512573,admits-3:date+supplier+part,1,ok,57.18,,200,3000078095504.6,3,1,4,3,7,2358,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-3:date+supplier+part-r1.txt
dim10mb,q1,auto,7876670,admits-4:date+supplier+part+customer,1,ok,29.34,,200,3000078095504.6,4,0,2,4,6,5867,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-4:date+supplier+part+customer-r1.txt
dim10mb,q1,auto,63013352,above-all-8x,1,ok,27.41,,200,3000078095504.6,4,0,2,4,6,4718,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-above-all-8x-r1.txt
dim10mb,q1,joinless,-1,pattern,2,ok,21.21,3.69,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-joinless-pattern-r2.txt
dim10mb,q1,auto,10485760,default-10MiB,2,ok,28.50,,200,3000078095504.6,4,0,2,4,6,4457,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-default-10MiB-r2.txt
dim10mb,q1,auto,22821,admits-1:date,2,ok,134.95,,200,3000078095504.6,1,3,8,1,9,378,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-1:date-r2.txt
